,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag,dup_id,count_dups,dup_id_pseudo_free,count_dups_pseudo_free,dup_id_mobile_free,count_dups_mobile_free
CDS_NC_013364.1_2898963_2903478_neg,NC_013364.1,ECO111_RS15470,WP_000536509.1,,2898963,2903478,neg,,alpha-2-macroglobulin family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001471889.1,,ECO111_2958,1,2,,,,
CDS_NC_013364.1_2903501_2903597_neg,NC_013364.1,ECO111_RS33150,,,2903501,2903597,neg,True,DUF1175 family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_311139.2,,,1,2,,,,
CDS_NC_013364.1_18293_19253_neg,NC_013364.1,ECO111_RS00100,WP_000871667.1,,18293,19253,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000871680.1,,,2,2,,,,
CDS_NC_013364.1_19265_20618_neg,NC_013364.1,ECO111_RS00105,,,19265,20618,neg,True,fimbria/pilus outer membrane usher protein,,COORDINATES: similar to AA sequence:RefSeq:NP_308049.1,,ECO111_0021,2,2,,,,
CDS_NC_013364.1_842717_843671_neg,NC_013364.1,ECO111_RS04105,WP_000679972.1,,842717,843671,neg,,LysR family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:NP_308823.3,,ECO111_0778,3,2,,,,
CDS_NC_013364.1_843854_844906_pos,NC_013364.1,ECO111_RS04110,,,843854,844906,pos,True,4-oxalomesaconate tautomerase,,COORDINATES: similar to AA sequence:RefSeq:NP_415290.1,,ECO111_0779,3,2,,,,
CDS_NC_013364.1_5206441_5207464_pos,NC_013364.1,ECO111_RS26960,WP_001296689.1,,5206441,5207464,pos,,ABC transporter permease,,COORDINATES: similar to AA sequence:RefSeq:NP_313234.2,,ECO111_5114,4,2,,,,
CDS_NC_013364.1_5207450_5208446_pos,NC_013364.1,ECO111_RS26965,,yjfF,5207450,5208446,pos,True,sugar ABC transporter permease YjfF,,COORDINATES: similar to AA sequence:RefSeq:NP_418652.2,,,4,2,,,,
CDS_NC_013364.1_1938989_1940527_pos,NC_013364.1,ECO111_RS10035,,lsrA,1938989,1940527,pos,True,autoinducer 2 ABC transporter ATP-binding protein LsrA,,COORDINATES: similar to AA sequence:RefSeq:NP_416030.1,,,5,2,,,,
CDS_NC_013364.1_1937787_1938741_neg,NC_013364.1,ECO111_RS10030,WP_000154339.1,lsrR,1937787,1938741,neg,,transcriptional regulator LsrR,,COORDINATES: similar to AA sequence:RefSeq:NP_707462.1,,ECO111_1907,5,2,,,,
CDS_NC_013364.1_1942552_1943575_pos,NC_013364.1,ECO111_RS10050,,lsrB,1942552,1943575,pos,True,autoinducer 2 ABC transporter substrate-binding protein LsrB,,COORDINATES: similar to AA sequence:RefSeq:NP_310150.1,,ECO111_1912,6,2,,,,
CDS_NC_013364.1_1941548_1942541_pos,NC_013364.1,ECO111_RS10045,WP_001222721.1,lsrD,1941548,1942541,pos,,autoinducer 2 ABC transporter permease LsrD,,COORDINATES: similar to AA sequence:RefSeq:NP_416032.1,,ECO111_1911,6,2,,,,
CDS_NC_013364.1_1784838_1785744_neg,NC_013364.1,ECO111_RS09370,WP_001067510.1,feaR,1784838,1785744,neg,,transcriptional regulator FeaR,,COORDINATES: similar to AA sequence:RefSeq:NP_415902.1,,ECO111_1777,7,2,,,,
CDS_NC_013364.1_1785979_1787466_pos,NC_013364.1,ECO111_RS09375,,feaB,1785979,1787466,pos,True,phenylacetaldehyde dehydrogenase,,COORDINATES: similar to AA sequence:RefSeq:NP_415903.4,,ECO111_1779,7,2,,,,
CDS_NC_013364.1_4528343_4529237_pos,NC_013364.1,ECO111_RS23575,WP_001345096.1,,4528343,4529237,pos,,AraC family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:NP_418136.2,,ECO111_4505,8,2,,,,
CDS_NC_013364.1_4529233_4529458_neg,NC_013364.1,ECO111_RS23580,,,4529233,4529458,neg,True,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_312649.2,,ECO111_4506,8,2,,,,
CDS_NC_013364.1_2864724_2867315_neg,NC_013364.1,ECO111_RS15305,,yejO,2864724,2867315,neg,True,autotransporter YejO,,COORDINATES: similar to AA sequence:RefSeq:NP_311108.2,,ECO111_2928,9,2,,,,
CDS_NC_013364.1_2863333_2864257_pos,NC_013364.1,ECO111_RS15295,WP_001369202.1,,2863333,2864257,pos,,phage major capsid protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000562896.1,,ECO111_2926,9,2,,,,
