qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,aln_pct_qlen,aln_pct_slen
CDS_NC_011748.1_4750243_4750717_neg,CDS_NC_011748.1_5000925_5001411_pos,85.093,161,20,1,1,157,1,161,7.919999999999999e-104,291.0,157,161,102.55,100.0
CDS_NC_011748.1_4751058_4751184_neg,CDS_NC_011748.1_5000925_5001411_pos,85.093,161,20,1,1,157,1,161,7.919999999999999e-104,291.0,157,161,102.55,100.0
CDS_NC_011748.1_4751240_4751980_pos,CDS_NC_011748.1_5000925_5001411_pos,85.093,161,20,1,1,157,1,161,7.919999999999999e-104,291.0,157,161,102.55,100.0
CDS_NC_011748.1_1133446_1136842_pos,CDS_NC_011748.1_1762013_1765427_neg,87.029,1141,132,5,1,1130,1,1136,0.0,2030.0,1131,1137,100.88,100.35
CDS_NC_011748.1_1113225_1115088_pos,CDS_NC_011748.1_1426723_1428580_pos,93.419,623,33,3,1,620,1,618,0.0,1204.0,620,618,100.48,100.81
CDS_NC_011748.1_1128438_1131042_pos,CDS_NC_011748.1_1443340_1445914_pos,93.088,868,47,2,1,867,1,856,0.0,1560.0,867,857,100.12,101.28
CDS_NC_011748.1_550368_554637_pos,CDS_NC_011748.1_554670_555368_pos,100.0,1422,0,0,1,1422,1,1422,0.0,2910.0,1422,1422,100.0,100.0
CDS_NC_011748.1_3360966_3365085_neg,CDS_NC_011748.1_4777831_4778305_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_011748.1_3360966_3365085_neg,CDS_NC_011748.1_4773548_4777667_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_011748.1_3360966_3365085_neg,CDS_NC_011748.1_3365546_3366035_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_011748.1_3365546_3366035_neg,CDS_NC_011748.1_4777831_4778305_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_011748.1_3365546_3366035_neg,CDS_NC_011748.1_4773548_4777667_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_011748.1_4773548_4777667_neg,CDS_NC_011748.1_4777831_4778305_neg,100.0,1372,0,0,1,1372,1,1372,0.0,2803.0,1372,1372,100.0,100.0
CDS_NC_011748.1_4796366_4800224_neg,CDS_NC_011748.1_4802382_4802553_neg,100.0,1285,0,0,1,1285,1,1285,0.0,2620.0,1285,1285,100.0,100.0
CDS_NC_011748.1_4796366_4800224_neg,CDS_NC_011748.1_4801989_4802337_neg,100.0,1285,0,0,1,1285,1,1285,0.0,2620.0,1285,1285,100.0,100.0
CDS_NC_011748.1_4796366_4800224_neg,CDS_NC_011748.1_4801573_4801951_pos,100.0,1285,0,0,1,1285,1,1285,0.0,2620.0,1285,1285,100.0,100.0
CDS_NC_011748.1_4796366_4800224_neg,CDS_NC_011748.1_4800584_4801589_neg,100.0,1285,0,0,1,1285,1,1285,0.0,2620.0,1285,1285,100.0,100.0
CDS_NC_011748.1_4800584_4801589_neg,CDS_NC_011748.1_4802382_4802553_neg,100.0,1285,0,0,1,1285,1,1285,0.0,2620.0,1285,1285,100.0,100.0
CDS_NC_011748.1_4800584_4801589_neg,CDS_NC_011748.1_4801989_4802337_neg,100.0,1285,0,0,1,1285,1,1285,0.0,2620.0,1285,1285,100.0,100.0
CDS_NC_011748.1_4800584_4801589_neg,CDS_NC_011748.1_4801573_4801951_pos,100.0,1285,0,0,1,1285,1,1285,0.0,2620.0,1285,1285,100.0,100.0
CDS_NC_011748.1_4801573_4801951_pos,CDS_NC_011748.1_4802382_4802553_neg,100.0,1285,0,0,1,1285,1,1285,0.0,2620.0,1285,1285,100.0,100.0
CDS_NC_011748.1_4801573_4801951_pos,CDS_NC_011748.1_4801989_4802337_neg,100.0,1285,0,0,1,1285,1,1285,0.0,2620.0,1285,1285,100.0,100.0
CDS_NC_011748.1_4801989_4802337_neg,CDS_NC_011748.1_4802382_4802553_neg,100.0,1285,0,0,1,1285,1,1285,0.0,2620.0,1285,1285,100.0,100.0
CDS_NC_011748.1_856910_860408_pos,CDS_NC_011748.1_1762013_1765427_neg,89.957,1165,89,2,1,1165,1,1137,0.0,2167.0,1165,1137,100.0,102.46
CDS_NC_011748.1_1198296_1200720_neg,CDS_NC_011748.1_1201026_1201724_pos,100.0,807,0,0,1,807,1,807,0.0,1665.0,807,807,100.0,100.0
CDS_NC_011748.1_1096000_1098493_neg,CDS_NC_011748.1_1409700_1412172_neg,92.169,830,58,1,1,830,1,823,0.0,1590.0,830,823,100.0,100.85
CDS_NC_011748.1_2980677_2982930_neg,CDS_NC_011748.1_2982960_2984241_neg,100.0,750,0,0,1,750,1,750,0.0,1545.0,750,750,100.0,100.0
