,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag
CDS_NC_018658.1_32_1436_pos,NC_018658.1,O3K_RS00005,WP_000059111.1,dnaA,32,1436,pos,,chromosomal replication initiator protein DnaA,,COORDINATES: similar to AA sequence:RefSeq:NP_418157.1,,O3K_00005
CDS_NC_018658.1_1440_2541_pos,NC_018658.1,O3K_RS00010,WP_000673464.1,dnaN,1440,2541,pos,,DNA polymerase III subunit beta,,COORDINATES: similar to AA sequence:RefSeq:WP_006177590.1,2.7.7.7,O3K_00010
CDS_NC_018658.1_2540_3614_pos,NC_018658.1,O3K_RS00015,WP_000060112.1,recF,2540,3614,pos,,DNA replication/repair protein RecF,,COORDINATES: similar to AA sequence:RefSeq:WP_005121479.1,,O3K_00015
CDS_NC_018658.1_3642_6057_pos,NC_018658.1,O3K_RS00020,WP_000072067.1,gyrB,3642,6057,pos,,DNA topoisomerase (ATP-hydrolyzing) subunit B,,COORDINATES: similar to AA sequence:RefSeq:NP_312661.1,5.6.2.2,O3K_00020
CDS_NC_018658.1_6287_6695_pos,NC_018658.1,O3K_RS00025,WP_001317389.1,,6287,6695,pos,,YidB family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001311237.1,,O3K_00030
CDS_NC_018658.1_6809_7622_pos,NC_018658.1,O3K_RS00030,WP_000985549.1,yidA,6809,7622,pos,,sugar-phosphatase,,COORDINATES: similar to AA sequence:RefSeq:NP_418152.1,3.1.3.23,O3K_00035
CDS_NC_018658.1_7667_8324_neg,NC_018658.1,O3K_RS00035,WP_000772934.1,,7667,8324,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_709504.1,,O3K_00040
CDS_NC_018658.1_8601_9291_pos,NC_018658.1,O3K_RS00040,WP_000174305.1,dgoR,8601,9291,pos,,D-galactonate utilization transcriptional regulator DgoR,,COORDINATES: similar to AA sequence:RefSeq:NP_709505.1,,O3K_00045
CDS_NC_018658.1_9287_10166_pos,NC_018658.1,O3K_RS00045,WP_000127112.1,dgoK,9287,10166,pos,,2-dehydro-3-deoxygalactonokinase,,COORDINATES: similar to AA sequence:RefSeq:NP_709506.1,2.7.1.58,O3K_00050
CDS_NC_018658.1_10149_10767_pos,NC_018658.1,O3K_RS00050,WP_001198701.1,dgoA,10149,10767,pos,,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,,COORDINATES: similar to AA sequence:RefSeq:YP_026238.1,4.1.2.21,O3K_00055
CDS_NC_018658.1_10763_11912_pos,NC_018658.1,O3K_RS00055,WP_000705001.1,dgoD,10763,11912,pos,,galactonate dehydratase,,COORDINATES: similar to AA sequence:RefSeq:WP_020077623.1,4.2.1.6,O3K_00060
CDS_NC_018658.1_11986_13324_pos,NC_018658.1,O3K_RS00060,WP_000253455.1,,11986,13324,pos,,MFS transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_709507.1,,O3K_00065
CDS_NC_018658.1_13320_14385_neg,NC_018658.1,O3K_RS00065,WP_001387166.1,cbrA,13320,14385,neg,,colicin M resistance protein,,COORDINATES: similar to AA sequence:RefSeq:NP_418145.2,,O3K_00070
CDS_NC_018658.1_14485_15700_pos,NC_018658.1,O3K_RS00070,WP_001295245.1,,14485,15700,pos,,DUF3748 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_312656.3,,O3K_00075
CDS_NC_018658.1_15701_16034_neg,NC_018658.1,O3K_RS00075,WP_000620888.1,,15701,16034,neg,,YceK/YidQ family lipoprotein,,COORDINATES: similar to AA sequence:RefSeq:NP_418143.2,,O3K_00080
CDS_NC_018658.1_16339_16753_pos,NC_018658.1,O3K_RS00080,WP_001243437.1,ibpA,16339,16753,pos,,heat shock chaperone IbpA,,COORDINATES: similar to AA sequence:RefSeq:WP_006687722.1,,O3K_00085
CDS_NC_018658.1_16864_17293_pos,NC_018658.1,O3K_RS00085,WP_001243431.1,ibpB,16864,17293,pos,,heat shock chaperone IbpB,,COORDINATES: similar to AA sequence:RefSeq:NP_709512.2,,O3K_00090
CDS_NC_018658.1_17489_19151_pos,NC_018658.1,O3K_RS00090,WP_001279752.1,,17489,19151,pos,,putative transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_312652.2,,O3K_00095
CDS_NC_018658.1_19147_19864_neg,NC_018658.1,O3K_RS00095,WP_001300779.1,,19147,19864,neg,,GntR family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:NP_418139.1,,O3K_00100
CDS_NC_018658.1_20159_21776_pos,NC_018658.1,O3K_RS00100,WP_000952141.1,,20159,21776,pos,,PTS sugar transporter subunit IIB,,COORDINATES: similar to AA sequence:RefSeq:NP_312650.2,,O3K_00105
CDS_NC_018658.1_21775_22590_pos,NC_018658.1,O3K_RS00105,,,21775,22590,pos,True,inactive 6-phospho-alpha-glucosidase,,COORDINATES: similar to AA sequence:RefSeq:NP_312649.2,,O3K_00110
CDS_NC_018658.1_22586_23480_neg,NC_018658.1,O3K_RS00110,WP_001013540.1,,22586,23480,neg,,AraC family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:NP_418136.2,,O3K_00120
CDS_NC_018658.1_23646_25362_pos,NC_018658.1,O3K_RS00115,WP_001087135.1,,23646,25362,pos,,solute:sodium symporter family transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_418135.1,,O3K_00125
CDS_NC_018658.1_25358_26852_pos,NC_018658.1,O3K_RS00120,WP_000828483.1,,25358,26852,pos,,sulfatase-like hydrolase/transferase,,COORDINATES: similar to AA sequence:RefSeq:NP_418134.1,,O3K_00130
CDS_NC_018658.1_26898_27348_neg,NC_018658.1,O3K_RS00125,WP_000511287.1,,26898,27348,neg,,membrane protein,,COORDINATES: similar to AA sequence:RefSeq:NP_418133.1,,O3K_00135
CDS_NC_018658.1_27456_27804_pos,NC_018658.1,O3K_RS00130,WP_000703959.1,,27456,27804,pos,,YidH family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_312644.1,,O3K_00140
CDS_NC_018658.1_27793_28156_pos,NC_018658.1,O3K_RS00135,WP_001113432.1,,27793,28156,pos,,DUF202 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_312643.1,,O3K_00145
CDS_NC_018658.1_28152_28650_pos,NC_018658.1,O3K_RS00140,WP_000148063.1,,28152,28650,pos,,radical SAM protein,,COORDINATES: similar to AA sequence:RefSeq:NP_709521.1,,O3K_00150
CDS_NC_018658.1_28657_29842_neg,NC_018658.1,O3K_RS00145,WP_000828746.1,emrD,28657,29842,neg,,multidrug efflux MFS transporter EmrD,,COORDINATES: similar to AA sequence:RefSeq:NP_418129.2,,O3K_00155
CDS_NC_018658.1_30260_30350_neg,NC_018658.1,O3K_RS00150,WP_000060506.1,tisB,30260,30350,neg,,type I toxin-antitoxin system toxin TisB,,COORDINATES: similar to AA sequence:RefSeq:YP_009502662.1,,O3K_00160
CDS_NC_018658.1_30914_31013_pos,NC_018658.1,O3K_RS00155,WP_001315912.1,ivbL,30914,31013,pos,,ilvB operon leader peptide IvbL,,COORDINATES: similar to AA sequence:RefSeq:NP_418128.1,,
CDS_NC_018658.1_31118_32807_pos,NC_018658.1,O3K_RS00160,WP_000168480.1,ilvB,31118,32807,pos,,acetolactate synthase large subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_418127.1,,O3K_00170
CDS_NC_018658.1_32810_33101_pos,NC_018658.1,O3K_RS00165,WP_001181713.1,ilvN,32810,33101,pos,,acetolactate synthase small subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_312638.1,2.2.1.6,O3K_00175
