,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag,dup_id,count_dups,dup_id_pseudo_free,count_dups_pseudo_free,dup_id_mobile_free,count_dups_mobile_free
CDS_NC_018658.1_2898196_2901676_neg,NC_018658.1,O3K_RS14150,WP_000515776.1,,2898196,2901676,neg,,host specificity protein J,,COORDINATES: similar to AA sequence:RefSeq:NP_706646.1,,O3K_14090,1,3,1.0,3.0,1.0,3.0
CDS_NC_018658.1_2189610_2193006_pos,NC_018658.1,O3K_RS10615,WP_000515718.1,,2189610,2193006,pos,,host specificity protein J,,COORDINATES: similar to AA sequence:RefSeq:NP_706646.1,,O3K_10565,1,3,1.0,3.0,1.0,3.0
CDS_NC_018658.1_3586294_3589792_neg,NC_018658.1,O3K_RS17620,WP_000515639.1,,3586294,3589792,neg,,host specificity protein J,,COORDINATES: similar to AA sequence:RefSeq:NP_308869.1,,O3K_17525,1,3,1.0,3.0,1.0,3.0
CDS_NC_018666.1_55668_59763_pos,NC_018666.1,O3K_RS26470,WP_001034126.1,sepA,55668,59763,pos,,serine protease autotransporter toxin SepA,,COORDINATES: similar to AA sequence:RefSeq:NP_858203.1,,O3K_26432,2,2,,,,
CDS_NC_018666.1_60057_60246_neg,NC_018666.1,O3K_RS26475,,,60057,60246,neg,True,transposase domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000080195.1,,O3K_26437,2,2,,,,
CDS_NC_018658.1_4587764_4588589_pos,NC_018658.1,O3K_RS22405,WP_001114712.1,,4587764,4588589,pos,,MurR/RpiR family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:WP_019077578.1,,O3K_22225,3,2,,,,
CDS_NC_018658.1_4588760_4589458_neg,NC_018658.1,O3K_RS22410,,,4588760,4589458,neg,True,IS1 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612230.1,,O3K_22230,3,2,,,,
CDS_NC_018658.1_4178987_4179758_pos,NC_018658.1,O3K_RS20520,WP_001118029.1,yafV,4178987,4179758,pos,,2-oxoglutaramate amidase,,COORDINATES: similar to AA sequence:RefSeq:NP_308273.1,3.5.1.111,O3K_20365,4,3,,,,
CDS_NC_018658.1_4181038_4182165_neg,NC_018658.1,O3K_RS20530,,,4181038,4182165,neg,True,ISAs1 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_000027427.1,,,4,3,,,,
CDS_NC_018658.1_4179799_4180936_neg,NC_018658.1,O3K_RS20525,,,4179799,4180936,neg,True,ISAs1 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_000420980.1,,O3K_20370,4,3,,,,
CDS_NC_018666.1_7762_7945_pos,NC_018666.1,O3K_RS26150,,,7762,7945,pos,True,IS1 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_012477181.1,,,5,4,,,,
CDS_NC_018666.1_6864_7662_pos,NC_018666.1,O3K_RS26145,WP_000769457.1,aggR,6864,7662,pos,,aggregative adherence transcriptional regulator AggR,,COORDINATES: similar to AA sequence:RefSeq:WP_000769457.1,,O3K_26097,5,4,,,,
CDS_NC_018666.1_8409_9413_neg,NC_018666.1,O3K_RS26160,,,8409,9413,neg,True,IS110 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_013315785.1,,O3K_26107,5,4,,,,
CDS_NC_018666.1_7945_8134_pos,NC_018666.1,O3K_RS26155,,,7945,8134,pos,True,transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076611134.1,,,5,4,,,,
CDS_NC_018658.1_2170073_2170880_pos,NC_018658.1,O3K_RS10480,WP_000731196.1,,2170073,2170880,pos,,YdfR family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000731189.1,,O3K_10425,6,2,2.0,2.0,2.0,2.0
CDS_NC_018658.1_2921053_2921860_neg,NC_018658.1,O3K_RS14285,WP_000731197.1,,2921053,2921860,neg,,YdfR family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000731189.1,,O3K_14235,6,2,2.0,2.0,2.0,2.0
CDS_NC_018658.1_3619388_3620174_pos,NC_018658.1,O3K_RS17850,WP_000100847.1,bet,3619388,3620174,pos,,phage recombination protein Bet,,COORDINATES: similar to AA sequence:RefSeq:NP_311028.1,,O3K_17755,7,2,3.0,2.0,,
CDS_NC_018658.1_2528195_2528981_neg,NC_018658.1,O3K_RS12360,WP_000100829.1,bet,2528195,2528981,neg,,phage recombination protein Bet,,COORDINATES: similar to AA sequence:RefSeq:NP_309202.1,,O3K_12320,7,2,3.0,2.0,,
CDS_NC_018666.1_21618_22377_neg,NC_018666.1,O3K_RS26240,WP_000702455.1,aggD,21618,22377,neg,,aggregative adherence fimbria I chaperone AggD,,COORDINATES: similar to AA sequence:RefSeq:WP_032154288.1,,O3K_26212,8,2,,,,
CDS_NC_018666.1_22824_23059_pos,NC_018666.1,O3K_RS26245,,,22824,23059,pos,True,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001366937.1,,,8,2,,,,
CDS_NC_018658.1_2151814_2151993_neg,NC_018658.1,O3K_RS10330,,,2151814,2151993,neg,True,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_305741.1,,,9,2,,,,
CDS_NC_018658.1_2150722_2151481_neg,NC_018658.1,O3K_RS10325,WP_000628772.1,,2150722,2151481,neg,,phage protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000628772.1,,O3K_10290,9,2,,,,
CDS_NC_018658.1_1063676_1064444_pos,NC_018658.1,O3K_RS05155,WP_000390568.1,sctT,1063676,1064444,pos,,type III secretion system export apparatus subunit SctT,,COORDINATES: similar to AA sequence:RefSeq:WP_000503299.1,,O3K_05170,10,2,,,,
CDS_NC_018658.1_1064452_1065218_pos,NC_018658.1,O3K_RS05160,,,1064452,1065218,pos,True,EscU/YscU/HrcU family type III secretion system export apparatus switch protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001284706.1,,,10,2,,,,
CDS_NC_018658.1_181998_182739_pos,NC_018658.1,O3K_RS00900,WP_000906808.1,,181998,182739,pos,,MipA/OmpV family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_312487.1,,O3K_00930,11,2,,,,
CDS_NC_018658.1_182952_183054_pos,NC_018658.1,O3K_RS26640,,,182952,183054,pos,True,AraC family transcriptional regulator,,COORDINATES: similar to AA sequence:RefSeq:NP_312484.1,,,11,2,,,,
